GREET_ADJ_BAD_0;Most Despicable;Méprisable;Schändlichst;;De lo más despreciable;;;;;;;;;x,
GREET_ADJ_BAD_1;Wretched;Misérable;Erbärmlich;;Miserable;;;;;;;;;x,
GREET_ADJ_BAD_2;Deplorable;Déplorable;Bedauerlich;;Deplorable;;;;;;;;;x,
GREET_ADJ_BAD_3;Pitiful;Pitoyable;Kläglich;;Penoso;;;;;;;;;x,
GREET_ADJ_GOOD_0;Great;Superbe;Großartig;;Estupendo;;;;;;;;;x,
GREET_ADJ_GOOD_1;Magnificent;Magnifique;Herrlich;;Magnífico;;;;;;;;;x,
GREET_ADJ_GOOD_2;Honorable;Honorable;Ehrenhaft;;Honorable;;;;;;;;;x,
GREET_ADJ_GOOD_3;Glorious;Illustre;Glorreich;;Glorioso;;;;;;;;;x,
GREET_ADJ_GOOD_4;Heroic;Héroïque;Heldenhaft;;Heróico;;;;;;;;;x,
GREET_ADJ_GOOD_5;Most Excellent;Formidable;Überragend;;De lo más excelente;;;;;;;;;x,
DIPLOFLAVOR_INSULT_0;Tales of your misdeeds are told from Luoyang to Daqin.;Vos méfaits sont connus depuis Beijing jusqu’à Rome.;Von Euren Missetaten erzählt man sich von Beijing bis Rome!;;Se cuentan historias de tus fechorías desde Beijing hasta Rome.;;;;;;;;;x,
DIPLOFLAVOR_INSULT_1;Your low character is the subject of poems and essays.;Votre bassesse est telle qu’elle a inspiré des pièces de théâtre!;Euer niederer Charakter ist Mittelpunkt Theaterstücke!;;Tu escaso carácter es el tema de las obras de teatro.;;;;;;;;;x,
DIPLOFLAVOR_INSULT_2;May your humors rot in your living body.;Puissent vos humeurs pourrir en vous !;Mögen Euch die Säfte im lebendigem Leib austrocknen!;;Que tus fluidos se pudran en tu cuerpo en vida.;;;;;;;;;x,
DIPLOFLAVOR_INSULT_3;May your years be short and miserable.;Que votre vie soit brève et misérable !;Mögen Eure Jahre kurz und elend sein!;;Que tus años sean escasos y miserables.;;;;;;;;;x,
DIPLOFLAVOR_INSULT_4;May wisdom ever elude you.;Puissiez-vous ne jamais connaître la sagesse !;Möge Euch Weisheit stets fremd bleiben!;;Que la sabiduría siempre te eluda.;;;;;;;;;x,
DIPLOFLAVOR_FLATTERY_0;Blessings upon you and your House.;Soyez bénis, vous et votre Maison !;Ihr und Euer Haus mögen gesegnet sein!;;Bendiciones para ti y tu casa.;;;;;;;;;x
DIPLOFLAVOR_FLATTERY_1;Your wisdom and mercy are legendary.;Votre sagesse et votre clémence sont légendaires.;Eure Weisheit und Gnade sind legendär!;;Tu sabiduría y piedad son legendarias.;;;;;;;;;x,
DIPLOFLAVOR_FLATTERY_2;Peace be with you.;Que la paix soit avec vous !;Friede sei mit Euch!;;La paz sea contigo.;;;;;;;;;x,
DIPLOFLAVOR_FLATTERY_3;May you live in harmony and contentment.;Puissiez-vous vivre dans l’harmonie et la satisfaction !;Mögt Ihr in Harmonie und Zufriedenheit leben!;;Que vivas en goce y armonía.;;;;;;;;;x,
